;Timestamp [s],Timediff[탎],Trigger Type,Event Type,Data,Data,Data,Data
0.000000,+1332170382000000탎,,Realtime (83),Mon Mar 19 15:19:42 2012
0.000000,+0탎,Single,Session Start (4484),ID:c0015b89
0.000000,+0탎,On/Off,BUS INFO (4c2),ch:1,Baudrate:1443, Silent:1, Protocol:0, Pre-Trigger:0, Post-Trigger:0, Fw:6081f201
0.000000,+0탎,On/Off,BUS INFO (84c2),ch:2,Baudrate:1443, Silent:0, Protocol:0, Pre-Trigger:0, Post-Trigger:0, Fw:6081f201
143.820336,+564탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,cf00300,data:,dd,00,12,ff,ff,ff,52,ff,
143.820620,+284탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fe9a01
143.821204,+584탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,18fef200,data:,14,00,00,00,00,00,ff,ff,
143.821488,+284탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fedd01
143.821768,+280탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fd6601
143.822328,+560탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,14fef131,data:,cf,ff,ff,f3,00,ff,ff,30,
143.822608,+280탎,On/Off,CAN (4a0),RX ch:1,Dlc:0,idx:,18fe6901
143.823169,+561탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,301,data:,09,6f,a7,3f,0a,b8,0c,98,
143.823725,+556탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,302,data:,1d,35,19,85,00,09,49,fe,
143.824305,+580탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,303,data:,00,00,00,00,00,63,8c,01,
143.824901,+596탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,304,data:,00,00,00,00,00,00,00,00,
143.825485,+584탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,305,data:,00,00,49,c7,00,00,00,00,
143.826081,+596탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,306,data:,00,0a,00,00,00,00,00,00,
143.826557,+476탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,308,data:,00,04,2f,e4,eb,65,00,00,
143.827029,+472탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,309,data:,ff,f4,97,42,07,fd,00,00,
143.827493,+464탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,310,data:,39,b9,7d,4a,36,b3,ca,50,
143.827942,+449탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,311,data:,bd,63,31,a3,bc,54,2e,f9,
143.828410,+468탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,312,data:,bf,a6,66,66,3f,40,00,00,
143.828870,+460탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,313,data:,bf,5c,28,f6,3f,80,1a,1b,
143.829425,+555탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,cf00400,data:,f0,7d,88,8a,12,00,ff,88,
143.830002,+577탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,10ff2121,data:,32,00,0f,80,f8,ff,ff,fa,
143.830570,+568탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,18f0010b,data:,cf,ff,fc,ff,ff,0f,ff,ff,
143.831154,+584탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,18fedf00,data:,84,00,13,ff,7d,ff,ff,ff,
143.831726,+572탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,18ff1919,data:,01,43,00,02,ff,ff,ff,ff,
143.832306,+580탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,cf00421,data:,ff,ff,ff,ff,ff,ff,ff,ff,
143.832866,+560탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,301,data:,09,6f,a7,40,0a,b8,0c,98,
143.833426,+560탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,302,data:,1d,35,19,85,00,06,4e,ca,
143.834002,+576탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,303,data:,00,00,00,00,01,63,8c,01,
143.834598,+596탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,304,data:,00,00,00,00,00,00,00,00,
143.835182,+584탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,305,data:,00,00,49,c7,00,00,00,00,
143.835774,+592탎,On/Off,CAN (4a8),RX ch:1,Dlc:8,idx:,306,data:,00,0b,00,00,00,00,00,00,
143.836250,+476탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,308,data:,00,04,2f,e4,eb,66,00,00,
143.836726,+476탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,309,data:,ff,f4,97,42,07,fa,00,00,
143.837198,+472탎,On/Off,CAN (498),RX ch:1,Dlc:8,id:,310,data:,39,a8,01,fb,38,3e,d8,f2,
